QUESTION,OPTIONS,VOTIFY_LINK,ORDERED
How optimistic are you about the economy right now?,Very Optimistic,http://votifi.com/polls/3342,true
,Somewhat optimistic,,
,Not very optimistic,,
,Not at all optimistic,,
