QUESTION,OPTIONS,VOTIFY_LINK
"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",The cloud hosting companies - they need better security,http://votifi.com/polls/3335
,The people who own the information - nothing that personal should be in the cloud,
,The hackers,
