responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_2_2,"Yes",2,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 17:40:49 -0400","Wed, 25 Mar 2015 17:40:55 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_2_2,"Yes",1,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 17:42:58 -0400","Wed, 25 Mar 2015 17:43:12 -0400"
A2YOZ7WFVL73Q,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_2_2,"Yes",2,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 17:52:46 -0400","Wed, 25 Mar 2015 17:53:03 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_4_2,"Not following the story",1,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 18:09:23 -0400","Wed, 25 Mar 2015 18:09:35 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_2_2,"Yes",2,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 18:10:35 -0400","Wed, 25 Mar 2015 18:10:44 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_2_2,"Yes",0,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 18:12:43 -0400","Wed, 25 Mar 2015 18:12:50 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_4_2,"Not following the story",1,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 18:13:30 -0400","Wed, 25 Mar 2015 18:13:37 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_2_2,"Yes",2,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 18:26:11 -0400","Wed, 25 Mar 2015 18:26:20 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_4_2,"Not following the story",1,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 18:35:29 -0400","Wed, 25 Mar 2015 18:35:45 -0400"
A37CSK5QI41636,,survey1,q_2_1,"Do you think the United States will send combat troops to fight against ISIS in Iraq and Syria?",0,comp_2_2,"Yes",0,"http://votifi.com/polls/3340","Wed, 25 Mar 2015 19:14:55 -0400","Wed, 25 Mar 2015 19:14:58 -0400"
