responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_3_2,"No",1,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 17:40:11 -0400","Wed, 25 Mar 2015 17:40:17 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_3_2,"No",2,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 17:43:13 -0400","Wed, 25 Mar 2015 17:43:31 -0400"
A2YOZ7WFVL73Q,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_4_2,"Instead of buying I try to borrow",1,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 17:54:11 -0400","Wed, 25 Mar 2015 17:54:20 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_4_2,"Instead of buying I try to borrow",0,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 18:08:55 -0400","Wed, 25 Mar 2015 18:09:08 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_3_2,"No",2,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 18:11:33 -0400","Wed, 25 Mar 2015 18:11:43 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_3_2,"No",2,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 18:13:03 -0400","Wed, 25 Mar 2015 18:13:13 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_4_2,"Instead of buying I try to borrow",2,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 18:14:03 -0400","Wed, 25 Mar 2015 18:14:11 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_4_2,"Instead of buying I try to borrow",2,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 18:26:51 -0400","Wed, 25 Mar 2015 18:26:58 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_4_2,"Instead of buying I try to borrow",2,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 18:35:50 -0400","Wed, 25 Mar 2015 18:36:04 -0400"
A37CSK5QI41636,,survey1,q_2_1,"Have you even bought and returned something that you only ever intended to use one time?",0,comp_3_2,"No",1,"http://votifi.com/polls/3320","Wed, 25 Mar 2015 19:15:00 -0400","Wed, 25 Mar 2015 19:15:03 -0400"
