responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_3_2,"Maybe",0,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 17:40:00 -0400","Wed, 25 Mar 2015 17:40:10 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_3_2,"Maybe",1,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 17:41:22 -0400","Wed, 25 Mar 2015 17:41:36 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_3_2,"Maybe",2,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 18:09:10 -0400","Wed, 25 Mar 2015 18:09:20 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_3_2,"Maybe",0,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 18:11:10 -0400","Wed, 25 Mar 2015 18:11:17 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_3_2,"Maybe",0,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 18:11:50 -0400","Wed, 25 Mar 2015 18:11:56 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_4_2,"Not a chance",1,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 18:14:55 -0400","Wed, 25 Mar 2015 18:15:02 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_3_2,"Maybe",1,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 18:25:39 -0400","Wed, 25 Mar 2015 18:25:45 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_2_2,"Definitely",1,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 18:34:42 -0400","Wed, 25 Mar 2015 18:34:51 -0400"
A37CSK5QI41636,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_4_2,"Not a chance",2,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 19:08:36 -0400","Wed, 25 Mar 2015 19:08:41 -0400"
AZ1WXC1C3DUMA,,survey1,q_2_1,"If you could pay for things just by waving your cell phone at a cash register would you?",0,comp_3_2,"Maybe",2,"http://votifi.com/polls/3339","Wed, 25 Mar 2015 19:23:00 -0400","Wed, 25 Mar 2015 19:23:08 -0400"
