responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_3_2,"Small",1,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 17:39:44 -0400","Wed, 25 Mar 2015 17:39:54 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_2_2,"Big",2,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 17:42:23 -0400","Wed, 25 Mar 2015 17:42:45 -0400"
A2YOZ7WFVL73Q,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_2_2,"Big",2,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 17:53:46 -0400","Wed, 25 Mar 2015 17:53:55 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_3_2,"Small",0,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 18:08:20 -0400","Wed, 25 Mar 2015 18:08:34 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_3_2,"Small",1,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 18:10:55 -0400","Wed, 25 Mar 2015 18:11:03 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_3_2,"Small",2,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 18:12:56 -0400","Wed, 25 Mar 2015 18:13:03 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_3_2,"Small",1,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 18:14:14 -0400","Wed, 25 Mar 2015 18:14:29 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_2_2,"Big",1,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 18:27:11 -0400","Wed, 25 Mar 2015 18:27:17 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_3_2,"Small",1,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 18:35:15 -0400","Wed, 25 Mar 2015 18:35:25 -0400"
A37CSK5QI41636,,survey1,q_2_1,"Assuming the same pay, benefits, and hours, would you rather work/have worked for a big company or a small company?",0,comp_3_2,"Small",2,"http://www.votifi.com/polls/3312","Wed, 25 Mar 2015 19:14:34 -0400","Wed, 25 Mar 2015 19:14:40 -0400"
