responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_3_2,"Most of it",2,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 17:40:41 -0400","Wed, 25 Mar 2015 17:40:47 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_5_2,"I barely ever take vacations",3,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 17:41:56 -0400","Wed, 25 Mar 2015 17:42:08 -0400"
A2YOZ7WFVL73Q,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_3_2,"Most of it",1,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 17:52:15 -0400","Wed, 25 Mar 2015 17:52:22 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_2_2,"All of it and more",0,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 18:07:50 -0400","Wed, 25 Mar 2015 18:08:17 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_2_2,"All of it and more",0,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 18:11:44 -0400","Wed, 25 Mar 2015 18:11:52 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_3_2,"Most of it",2,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 18:13:14 -0400","Wed, 25 Mar 2015 18:13:26 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_2_2,"All of it and more",3,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 18:13:18 -0400","Wed, 25 Mar 2015 18:13:27 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_5_2,"I barely ever take vacations",0,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 18:26:24 -0400","Wed, 25 Mar 2015 18:26:28 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_3_2,"Most of it",2,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 18:36:36 -0400","Wed, 25 Mar 2015 18:36:44 -0400"
A37CSK5QI41636,,survey1,q_2_1,"Do you normally use up all of the vacation time you get in a year from work?",0,comp_5_2,"I barely ever take vacations",3,"http://votifi.com/polls/3385","Wed, 25 Mar 2015 19:08:43 -0400","Wed, 25 Mar 2015 19:08:47 -0400"
