responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,VOTIFY_LINK,acceptTime,submitTime
APT2NKM66DPX9,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_4_2,"The hackers",2,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 17:40:32 -0400","Wed, 25 Mar 2015 17:40:40 -0400"
AUVC78LEL0T6L,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_4_2,"The hackers",1,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 17:43:44 -0400","Wed, 25 Mar 2015 17:43:56 -0400"
A2YOZ7WFVL73Q,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_2_2,"The cloud hosting companies - they need better security",1,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 17:53:56 -0400","Wed, 25 Mar 2015 17:54:05 -0400"
A2YFEHR76VRAWC,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_2_2,"The cloud hosting companies - they need better security",0,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 18:03:28 -0400","Wed, 25 Mar 2015 18:03:44 -0400"
A37AB7CFQKGPWF,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_3_2,"The people who own the information - nothing that personal should be in the cloud",0,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 18:11:53 -0400","Wed, 25 Mar 2015 18:12:06 -0400"
A3VN5GRN6TFEXZ,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_4_2,"The hackers",0,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 18:12:16 -0400","Wed, 25 Mar 2015 18:12:27 -0400"
A3P0J22YY6VKA8,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_2_2,"The cloud hosting companies - they need better security",1,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 18:12:59 -0400","Wed, 25 Mar 2015 18:13:14 -0400"
A3CB33DXZ1ZU3L,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_4_2,"The hackers",0,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 18:25:50 -0400","Wed, 25 Mar 2015 18:26:08 -0400"
AYGUWNLZCL9Z0,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_3_2,"The people who own the information - nothing that personal should be in the cloud",0,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 18:34:56 -0400","Wed, 25 Mar 2015 18:35:10 -0400"
A37CSK5QI41636,,survey1,q_2_1,"When sensitive, personal photos stored in the cloud get leaked, who is primaril to blame?",0,comp_4_2,"The hackers",1,"http://votifi.com/polls/3335","Wed, 25 Mar 2015 19:14:41 -0400","Wed, 25 Mar 2015 19:14:48 -0400"
